date_published,baseline_sentiment,vader_sentiment,month,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,month_12.0
2018-01-01,0.6,0.94322,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,0.8,0.8615866666666665,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2018-03-01,0.7272727272727273,0.7583636363636365,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2018-04-01,1.0,0.9188769230769231,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-05-01,0.6111111111111112,0.9859166666666668,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2018-06-01,0.6153846153846154,0.7327307692307692,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2018-07-01,-0.1111111111111111,0.5007222222222223,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2018-08-01,0.7777777777777778,0.7964000000000001,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2018-09-01,0.875,0.899925,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2018-10-01,0.3,0.51223,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2018-11-01,0.5,0.5118625,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2018-12-01,0.5714285714285714,0.761842857142857,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-01,0.7142857142857143,0.8354714285714284,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,0.3333333333333333,0.97412,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2019-03-01,0.5555555555555556,0.9681666666666666,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2019-04-01,0.5333333333333333,0.8388799999999998,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2019-05-01,0.6666666666666666,0.8901777777777777,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-01,0.6428571428571429,0.7876071428571428,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2019-07-01,0.875,0.939975,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2019-08-01,0.8,0.7291133333333334,8.0,0,0,0,0,0,0,0,1,0,0,0,0
